oh   | 0.02155281
oi   | 0.00869675
oj   | 0.00201664
ok   | 0.00857071
ol   | 0.07801865
om   | 0.03289640
on   | 0.30388203
oo   | 0.01449458
op   | 0.01197378
oq   | 0.00037812
or   | 0.13347618
os   | 0.06352407
ot   | 0.01487270
ou   | 0.03466095
ov   | 0.02218301
ow   | 0.01436854
ox   | 0.00567179
oy   | 0.01298210
oz   | 0.00680615
p.   | 0.03216374
pa   | 0.20370370
pb   | 0.00194932
pc   | 0.00097466
pd   | 0.00000000
pe   | 0.19200780
pf   | 0.00097466
pg   | 0.00000000
ph   | 0.19883041
pi   | 0.05945419
pj   | 0.00097466
pk   | 0.00097466
pl   | 0.01559454
pm   | 0.00097466
pn   | 0.00097466
po   | 0.05750487
pp   | 0.03801170
pq   | 0.00000000
pr   | 0.14717349
ps   | 0.01559454
pt   | 0.01656920
pu   | 0.00389864
pv   | 0.00000000
pw   | 0.00000000
px   | 0.00000000
py   | 0.01169591
pz   | 0.00000000
q.   | 0.10294118
qa   | 0.04779412
qb   | 0.00000000
qc   | 0.00000000
qd   | 0.00000000
qe   | 0.00367647
qf   | 0.00000000
qg   | 0.00000000
qh   | 0.00000000
qi   | 0.04779412
qj   | 0.00000000
qk   | 0.00000000
ql   | 0.00367647
qm   | 0.00735294
qn   | 0.00000000
qo   | 0.00735294
qp   | 0.00000000
qq   | 0.00000000
qr   | 0.00367647
qs   | 0.00735294
qt   | 0.00000000
qu   | 0.75735294
qv   | 0.00000000
qw   | 0.01102941
qx   | 0.00000000
qy   | 0.00000000
qz   | 0.00000000
r.   | 0.10842520
ra   | 0.18551181
rb   | 0.00322835
rc   | 0.00779528
rd   | 0.01472441
re   | 0.13362205
rf   | 0.00070866
rg   | 0.00598425
rh   | 0.00952756
ri   | 0.23881890
rj   | 0.00196850
rk   | 0.00708661
rl   | 0.03251969
rm   | 0.01275591
rn   | 0.01102362
ro   | 0.06842520
rp   | 0.00110236
rq   | 0.00125984
rr   | 0.03346457
rs   | 0.01496063
rt   | 0.01637795
ru   | 0.01984252
rv   | 0.00629921
rw   | 0.00165354
rx   | 0.00023622
ry   | 0.06086614
rz   | 0.00181102
s.   | 0.14421416
sa   | 0.14816186
sb   | 0.00259067
sc   | 0.00740192
sd   | 0.00111029
se   | 0.10905502
sf   | 0.00024673
sg   | 0.00024673
sh   | 0.15852455
si   | 0.08438194
sj   | 0.00024673
